loan_amount,interest_rate,term_months,start_date,end_date,borrower_age,borrower_income,credit_score,defaulted,is_simulated_anomaly
52407,0.1377,12,2021-08-29,2022-08-24,41,49299,719,0,0
62267,0.0997,12,2022-07-19,2023-07-14,52,22200,637,0,0
62135,0.1493,48,2021-12-28,2025-12-07,50,58467,697,0,0
4987,0.074,36,2023-03-26,2026-03-10,34,90271,332,1,0
41818,0.1064,60,2024-03-28,2029-03-02,68,96213,582,0,0
49404,0.0903,48,2025-06-22,2029-06-01,64,127455,780,0,0
41764,0.0899,48,2024-11-23,2028-11-02,52,148191,348,1,0
57491,0.1429,60,2022-11-07,2027-10-12,63,56212,817,0,0
64208,0.1444,60,2022-11-16,2027-10-21,66,20301,480,1,0
67235,0.1324,60,2024-07-20,2029-06-24,38,121279,460,1,0
27641,0.0968,24,2023-05-23,2025-05-12,20,120199,587,0,0
19070,0.0468,36,2023-05-21,2023-04-21,59,119713,403,0,1
55748,0.0656,24,2022-09-21,2024-09-10,52,70993,707,0,0
71316,0.0533,48,2022-12-02,2026-11-11,68,75766,442,1,0
11966,0.1106,36,2021-08-26,2024-08-10,42,72921,489,1,0
56609,0.1332,12,2022-12-16,2023-12-11,69,90313,353,1,0
20508,0.0626,48,2021-10-10,2025-09-19,22,107142,495,0,0
59335,0.0938,36,2024-12-22,2027-12-07,57,93523,568,0,0
74847,0.0625,48,2024-06-28,2028-06-07,43,110852,773,0,0
52990,0.0814,48,2021-09-18,2025-08-28,18,86617,812,0,0
47175,0.0959,12,2024-01-03,2024-12-28,57,76556,571,0,0
30375,0.0965,60,2024-11-27,2029-11-01,20,105067,453,1,0
14284,0.0444,60,2021-12-04,2026-11-08,31,29435,368,1,0
52293,0.1327,48,2024-07-17,2028-06-26,22,115435,517,0,0
63752,0.0858,60,2021-01-08,2025-12-13,40,124185,821,0,0
69385,0.0613,24,2022-06-21,2024-06-10,36,120793,624,0,0
28663,0.0385,24,2024-12-02,2026-11-22,66,69115,459,0,0
19071,0.1113,36,2025-08-26,2028-08-10,50,24000,726,0,0
39304,0.1082,36,2023-02-19,2026-02-03,61,40764,696,0,0
4373,0.0322,36,2024-07-10,2027-06-25,67,120386,389,1,0
16305,0.0328,24,2022-03-15,2024-03-04,68,127112,495,0,0
39513,0.1055,60,2024-10-20,2029-09-24,53,53496,576,0,0
45425,0.0808,36,2021-05-05,2024-04-19,66,103042,847,0,0
66510,0.0997,60,2022-11-09,2027-10-14,29,56208,824,0,0
69450,0.0424,12,2022-10-21,2023-10-16,66,34397,641,1,0
40954,0.0767,48,2024-04-23,2028-04-02,58,44466,375,1,0
60163,0.144,48,2025-04-16,2029-03-26,36,80921,666,1,0
12130,0.0555,60,2021-04-26,2026-03-31,40,86703,338,1,0
22545,0.1469,24,2023-08-21,2025-08-10,22,43714,514,0,0
7801,0.1462,12,2023-04-23,2024-04-17,27,102873,791,0,0
45261,0.0401,60,2021-06-26,2026-05-31,57,59081,692,0,0
20065,0.0476,60,2022-04-08,2027-03-13,54,74693,638,0,0
43348,0.0745,48,2022-07-17,2026-06-26,34,77854,626,0,0
36909,0.115,36,2023-07-04,2026-06-18,61,123605,466,1,0
56129,0.0696,36,2023-07-09,2026-06-23,62,24748,519,0,0
31355,0.0443,60,2021-08-21,2026-07-26,58,62918,300,0,0
62629,0.078,48,2023-10-25,2027-10-04,66,43960,416,0,0
37395,0.6693,60,2023-10-31,2028-10-04,64,148148,379,1,1
62642,0.1403,48,2024-02-24,2028-02-03,52,50354,831,1,0
72726,0.1055,12,2023-04-25,2024-04-19,20,39087,770,1,0
11975,0.0369,48,2024-08-13,2028-07-23,41,86203,672,0,0
47427,0.1076,24,2021-06-06,2023-05-27,67,53307,340,1,0
48605,0.0339,12,2024-08-12,2025-08-07,50,75284,760,0,0
28532,0.1393,60,2021-11-10,2026-10-15,23,25713,555,0,0
66545,0.1419,24,2022-09-18,2024-09-07,62,57892,418,1,0
62813,0.1273,12,2025-05-30,2026-05-25,28,82292,581,1,0
21309,0.1295,12,2022-03-19,2023-03-14,30,40384,404,1,0
1384,0.0316,48,2022-05-23,2026-05-02,34,80100,736,0,0
70172,0.1434,24,2022-04-10,2024-03-30,36,33456,384,1,0
39765,0.0602,60,2021-09-08,2026-08-13,30,77091,745,0,0
46543,0.1042,48,2024-09-01,2028-08-11,48,27239,453,1,0
62877,0.1227,36,2024-01-21,2027-01-05,67,57131,353,0,0
25285,0.125,12,2021-06-07,2022-06-02,65,39198,602,0,0
2252,0.1044,24,2022-02-13,2024-02-03,28,73682,402,1,0
7949,0.103,24,2025-03-01,2027-02-19,47,45934,734,0,0
54413,0.0841,48,2024-08-19,2028-07-29,47,90390,405,0,0
40811,0.0851,12,2023-12-07,2024-12-01,27,137520,807,0,0
74477,0.0891,60,2023-03-14,2028-02-16,60,147018,410,1,0
72774,0.078,48,2022-07-19,2026-06-28,57,145827,580,0,0
34434,0.1101,24,2025-01-02,2026-12-23,68,43954,304,1,0
37668,0.0338,12,2025-07-07,2026-07-02,22,124680,823,0,0
52745,0.0454,24,2022-04-21,2024-04-10,62,101818,372,1,0
23574,0.1053,36,2024-05-12,2027-04-27,65,72796,636,0,0
60399,0.1198,60,2022-01-05,2026-12-10,69,145646,602,0,0
9717,0.1042,24,2025-08-10,2027-07-31,62,125113,825,0,0
6126,0.1125,36,2020-11-11,2023-10-27,64,87067,573,0,0
35674,0.0591,12,2021-04-17,2022-04-12,54,30267,338,1,0
7229,0.0693,48,2021-09-02,2025-08-12,42,124592,824,0,0
8561,0.1247,60,2022-07-14,2027-06-18,35,46734,527,0,0
13910,0.1195,12,2024-02-08,2025-02-02,61,92274,724,0,0
55553,0.1029,36,2023-01-29,2026-01-13,62,132581,676,0,0
28285,0.6335,48,2024-01-29,2028-01-08,47,76138,745,0,1
14918,0.0367,12,2024-03-09,2025-03-04,20,44818,842,0,0
10111,0.0434,24,2025-01-25,2027-01-15,37,99579,374,0,0
1117,0.0609,36,2024-06-30,2027-06-15,19,20846,691,0,0
7469,0.1462,48,2022-06-27,2026-06-06,36,78067,524,0,0
68584,0.1033,60,2023-06-14,2028-05-18,28,52254,558,1,0
60383,0.0461,24,2025-02-09,2027-01-30,61,59809,312,1,0
35387,0.0606,60,2024-07-25,2029-06-29,26,39216,849,0,0
43078,0.1415,48,2024-09-16,2028-08-26,61,62929,633,0,0
71792,0.0546,36,2025-03-04,2028-02-17,52,137248,595,0,0
6951,0.1238,36,2023-08-03,2026-07-18,58,78596,569,0,0
16524,0.1277,36,2023-01-02,2025-12-17,31,125881,431,1,0
44303,0.0842,36,2025-08-20,2028-08-04,55,4839795,322,1,1
10184,0.0579,12,2022-09-10,2023-09-05,64,65558,403,0,0
68506,0.0818,36,2025-04-06,2028-03-21,24,103122,747,1,0
72324,0.0895,36,2023-07-13,2026-06-27,53,71356,849,0,0
45028,0.0598,12,2021-02-27,2022-02-22,21,39029,821,0,0
44872,0.0423,60,2021-02-23,2026-01-28,48,49486,527,0,0
65435,0.0777,60,2021-05-06,2026-04-10,25,84772,456,1,0
4756,0.1164,36,2024-11-20,2027-11-05,68,95683,591,0,0
72315,0.0518,24,2021-11-05,2023-10-26,57,96325,433,1,0
1814,0.0646,36,2023-03-06,2026-02-18,29,95993,440,1,0
18368,0.0607,48,2025-03-31,2029-03-10,60,105451,655,0,0
65644,0.1407,24,2024-02-23,2026-02-12,66,127099,677,1,0
45327,0.1309,36,2022-08-13,2022-07-14,40,54560,704,1,1
48523,0.045,12,2023-10-14,2024-10-08,18,120158,670,0,0
69244,0.0755,60,2022-12-02,2027-11-06,26,77545,735,0,0
14224,0.0437,48,2025-01-09,2028-12-19,42,119929,374,0,0
9070,0.0716,24,2024-09-28,2026-09-18,44,56368,478,1,0
68526,0.0499,60,2025-09-23,2030-08-28,41,66240,476,0,0
5757,0.0564,24,2025-07-06,2027-06-26,38,47696,383,1,0
53853,0.1333,60,2024-09-13,2029-08-18,57,141392,626,0,0
42949,0.12,36,2020-10-23,2023-10-08,36,113501,331,1,0
28952,0.0344,36,2021-02-20,2024-02-05,35,53536,670,0,0
29865,0.0941,12,2021-08-24,2022-08-19,67,31485,563,0,0
41806,0.1204,24,2021-05-02,2023-04-22,27,95629,461,1,0
27399,0.1159,60,2021-06-11,2026-05-16,25,135520,612,1,0
31678,0.1106,60,2024-05-27,2029-05-01,25,76373,538,0,0
40986,0.1083,24,2023-05-04,2025-04-23,52,54911,387,0,0
61535,0.1268,48,2023-01-28,2027-01-07,69,126660,481,1,0
67358,0.1376,24,2021-02-07,2023-01-28,24,36032,450,0,0
21079,0.0518,48,2024-09-25,2028-09-04,46,51419,381,0,0
24236,0.071,24,2022-06-03,2024-05-23,19,114914,770,1,0
15596,0.0714,12,2021-06-05,2022-05-31,51,82516,799,0,0
18771,0.0468,24,2021-11-29,2023-11-19,47,39063,358,0,0
38599,0.081,36,2022-11-26,2025-11-10,34,22573,820,0,0
61774,0.0562,36,2025-01-22,2028-01-07,63,136739,741,0,0
57133,0.1397,60,2025-06-26,2030-05-31,59,58243,340,1,0
40952,0.0786,24,2022-12-14,2024-12-03,29,21622,641,1,0
30402,0.1017,48,2021-09-01,2025-08-11,62,140824,754,0,0
12664,0.0803,48,2022-03-15,2026-02-22,63,148575,429,1,0
62120,0.0399,48,2025-06-05,2029-05-15,68,98617,328,1,0
73355,0.1163,36,2023-05-16,2026-04-30,51,73302,705,0,0
22792,0.0624,48,2024-12-24,2028-12-03,36,87298,543,1,0
25058,0.1016,24,2023-01-15,2022-12-16,26,52921,749,0,1
16048,0.0722,12,2023-06-05,2024-05-30,42,20060,341,1,0
25354,0.1283,60,2023-10-21,2028-09-24,61,126667,734,0,0
24051,0.0733,48,2023-12-23,2027-12-02,66,55772,316,0,0
58134,0.0404,36,2025-02-11,2028-01-27,25,32254,380,1,0
68957,0.1065,12,2024-03-09,2025-03-04,35,82552,567,1,0
28935,0.1147,12,2024-01-05,2024-12-30,40,107833,385,0,0
45813,0.0445,12,2021-07-15,2022-07-10,68,100559,797,0,0
7737,0.1194,48,2025-08-17,2029-07-27,56,39426,701,0,0
67150,0.0344,36,2021-07-09,2024-06-23,61,116443,397,0,0
3983,0.0829,48,2025-03-07,2029-02-14,56,76846,796,0,0
16317,0.0683,24,2020-10-29,2022-10-19,50,114223,792,0,0
53393,0.1488,36,2021-10-19,2024-10-03,30,47788,573,0,0
70346,0.0384,48,2024-08-31,2028-08-10,46,49629,776,1,0
63187,0.1053,48,2025-06-27,2029-06-06,64,30616,565,1,0
25574,0.0806,60,2023-04-04,2028-03-08,18,52733,302,1,0
25951,0.0645,48,2022-07-14,2026-06-23,35,132573,592,1,0
36400,0.0431,12,2024-04-03,2025-03-29,41,94691,439,0,0
68364,0.1244,36,2021-06-19,2024-06-03,23,20806,739,0,0
30757,0.1036,12,2024-06-24,2025-06-19,24,100435,609,0,0
35157,0.0577,24,2024-12-18,2026-12-08,43,102856,805,0,0
51948,0.1056,12,2022-06-24,2023-06-19,26,96898,319,0,0
27172,0.0612,36,2024-11-29,2027-11-14,67,45425,361,0,0
25578,0.1279,60,2025-04-19,2030-03-24,64,80504,628,0,0
18674,0.1353,36,2022-08-05,2025-07-20,45,117820,494,0,0
26931,0.0343,12,2023-06-14,2024-06-08,22,78762,525,0,0
34742,0.0306,36,2020-10-31,2023-10-16,22,90831,753,0,0
10903,0.112,60,2024-02-27,2029-01-31,30,65648,413,1,0
3396,0.1388,36,2023-04-23,2026-04-07,57,50561,339,1,0
8314,0.1342,48,2024-07-31,2028-07-10,50,116826,662,0,0
27292,0.1116,36,2021-04-21,2024-04-05,55,73947,306,0,0
50708,0.1346,36,2023-04-17,2026-04-01,48,67638,725,1,0
23890,0.0574,24,2022-11-04,2024-10-24,53,146209,823,1,0
61461,0.0692,12,2025-04-14,2026-04-09,34,147335,522,0,0
38311,0.0948,36,2021-10-11,2024-09-25,65,90981,766,0,0
30257,0.0819,24,2021-06-22,2023-06-12,45,118875,634,0,0
6084,0.1247,48,2024-03-17,2028-02-25,49,65539,541,0,0
51192,0.1225,12,2024-04-21,2025-04-16,27,29077,321,1,0
68889,0.1488,60,2022-12-28,2027-12-02,29,97475,526,0,0
28083,0.033,36,2022-09-27,2025-09-11,50,27813,378,1,0
28082,0.112,24,2021-12-28,2023-12-18,51,46029,584,0,0
7540,0.1325,60,2025-01-24,2029-12-29,46,37482,429,0,0
53307,0.1085,36,2022-08-14,2025-07-29,20,137584,681,0,0
34756,0.1432,60,2021-08-20,2026-07-25,37,68901,752,0,0
8424,0.0685,24,2022-03-15,2024-03-04,52,46431,823,0,0
24019,0.0868,48,2021-07-13,2025-06-22,63,135672,608,1,0
31707,0.0321,60,2021-07-21,2026-06-25,61,127188,835,0,0
53098,0.0523,12,2023-12-19,2024-12-13,47,145133,754,0,0
52027,0.0816,12,2021-02-21,2022-02-16,39,25109,800,1,0
-55615,0.082,60,2022-07-16,2027-06-20,34,122471,573,0,1
30009,0.0876,36,2022-06-26,2025-06-10,62,61688,401,0,0
50930,0.0877,12,2022-09-27,2023-09-22,34,59499,345,1,0
49787,0.0715,24,2025-02-04,2027-01-25,50,69153,524,1,0
46004,0.0399,60,2021-03-29,2026-03-03,69,76985,402,1,0
24398,0.0541,24,2022-07-10,2024-06-29,67,147118,405,1,0
63768,0.1442,60,2020-10-29,2025-10-03,20,69786,308,0,0
27015,0.0659,48,2024-01-04,2027-12-14,25,122215,617,0,0
62550,0.1278,36,2020-11-11,2023-10-27,37,118511,689,0,0
34662,0.1072,12,2022-10-21,2023-10-16,59,56877,311,1,0
2560,0.1346,24,2022-10-16,2024-10-05,36,40022,655,0,0
29380,0.1248,36,2023-02-19,2026-02-03,61,40049,848,0,0
3920,0.0892,48,2025-04-06,2029-03-16,27,28946,334,1,0
17309,0.0337,12,2024-07-11,2025-07-06,24,50027,458,1,0
48908,0.0715,48,2023-07-09,2027-06-18,37,119259,451,1,0
5703,0.1006,24,2021-01-01,2022-12-22,51,42015,634,0,0
46350,0.0632,36,2024-03-13,2027-02-26,29,138402,536,0,0
58056,0.0458,48,2022-12-27,2026-12-06,65,98301,597,1,0
50153,0.0517,60,2025-03-29,2030-03-03,55,4862362,617,1,1
71135,0.0995,48,2021-06-14,2025-05-24,19,89350,444,1,0
68649,0.133,60,2021-10-24,2026-09-28,18,41927,759,1,0
13588,0.0584,36,2022-07-25,2025-07-09,27,64738,569,0,0
72260,0.0704,12,2025-01-24,2026-01-19,18,26276,575,0,0
24499,0.1148,48,2021-09-24,2025-09-03,45,105112,406,0,0
72652,0.094,12,2021-08-26,2022-08-21,66,29847,455,0,0
19309,0.0547,60,2024-08-01,2029-07-06,37,40337,633,1,0
48614,0.0577,24,2022-04-21,2024-04-10,46,100896,418,1,0
29404,0.0406,12,2020-11-28,2021-11-23,66,84178,505,0,0
42235,0.1484,36,2022-11-18,2025-11-02,60,85661,516,0,0
16398,0.0846,36,2023-03-21,2026-03-05,67,29110,727,0,0
40062,0.7173,60,2022-08-02,2027-07-07,69,148335,674,0,1
24196,0.0833,60,2023-10-07,2028-09-10,64,130677,474,0,0
48414,0.1474,36,2025-02-23,2028-02-08,27,146365,413,1,0
25089,0.1343,12,2025-05-29,2026-05-24,29,70138,644,0,0
32890,0.1429,60,2025-05-12,2030-04-16,65,98916,660,0,0
37059,0.0491,12,2023-04-12,2024-04-06,50,93384,388,0,0
28208,0.0409,12,2022-06-11,2023-06-06,28,45923,680,0,0
68203,0.1101,24,2023-02-15,2025-02-04,35,116652,578,0,0
4712,0.0444,12,2021-08-16,2022-08-11,38,23726,364,1,0
10108,0.0757,60,2025-05-28,2030-05-02,42,103360,604,0,0
23443,0.0318,36,2024-09-18,2027-09-03,52,96743,302,1,0
7471,0.0923,48,2025-03-19,2029-02-26,46,21177,311,1,0
54551,0.0996,48,2022-03-28,2026-03-07,53,129326,342,0,0
60889,0.1159,36,2021-09-15,2024-08-30,62,44596,706,0,0
70967,0.1077,48,2022-04-08,2026-03-18,32,76088,350,1,0
38650,0.0422,60,2024-07-06,2029-06-10,21,27151,672,1,0
37378,0.1416,48,2023-10-04,2027-09-13,52,148647,443,1,0
65157,0.1159,12,2021-11-11,2022-11-06,30,43171,389,1,0
45139,0.0518,60,2023-08-18,2028-07-22,48,23654,611,0,0
7441,0.1401,48,2024-04-23,2028-04-02,21,32149,684,0,0
-43668,0.106,36,2025-05-26,2028-05-10,30,100758,417,1,1
10435,0.0574,12,2022-05-01,2023-04-26,32,101929,677,0,0
32401,0.138,12,2022-06-09,2023-06-04,43,147834,592,0,0
56826,0.1321,24,2022-09-21,2024-09-10,42,85681,738,0,0
65174,0.0582,48,2025-05-01,2029-04-10,51,114880,731,0,0
34755,0.0547,36,2022-08-19,2025-08-03,27,94696,376,1,0
8421,0.047,36,2023-12-23,2026-12-07,24,85108,673,0,0
56754,0.149,48,2023-01-12,2026-12-22,63,80946,517,1,0
32007,0.0629,48,2022-05-19,2026-04-28,57,132356,652,0,0
17456,0.0688,36,2024-07-15,2027-06-30,23,88008,816,0,0
5255,0.0948,24,2021-10-24,2023-10-14,20,145941,680,0,0
6249,0.1493,24,2021-05-25,2023-05-15,55,78576,653,0,0
54363,0.0372,48,2021-12-02,2025-11-11,53,133092,776,0,0
26592,0.0505,24,2021-05-31,2023-05-21,47,118936,354,0,0
30328,0.0661,48,2024-08-26,2028-08-05,20,119983,841,0,0
56922,0.0483,60,2021-01-01,2025-12-06,37,146823,547,0,0
14395,0.1048,24,2020-12-07,2022-11-27,25,111878,460,0,0
11699,0.1238,24,2021-03-25,2023-03-15,31,36163,780,0,0
36585,0.1424,12,2024-07-09,2025-07-04,18,2394416,479,1,1
19073,0.1021,36,2021-02-14,2024-01-30,39,85450,442,0,0
65612,0.0769,48,2024-08-10,2028-07-20,64,118864,341,1,0
35594,0.1109,24,2025-07-27,2027-07-17,47,93165,433,1,0
32750,0.0666,12,2025-04-04,2026-03-30,32,132020,429,1,0
73909,0.1471,24,2025-05-30,2027-05-20,42,144865,552,0,0
74822,0.0884,60,2021-11-07,2026-10-12,69,31138,782,0,0
51200,0.11,24,2020-11-10,2022-10-31,25,121268,836,0,0
41108,0.0959,48,2022-09-18,2026-08-28,30,94270,831,0,0
56099,0.1322,60,2023-12-16,2028-11-19,60,106269,429,0,0
73146,0.0764,60,2023-04-12,2028-03-16,36,62913,644,1,0
50841,0.0369,12,2022-06-26,2023-06-21,40,79474,398,1,0
51331,0.0664,36,2024-10-10,2027-09-25,24,117359,699,1,0
47851,0.1496,12,2024-02-02,2025-01-27,54,86918,679,0,0
13411,0.1318,24,2024-12-16,2026-12-06,54,52371,782,0,0
27715,0.0878,60,2025-06-22,2030-05-27,39,89252,809,0,0
64037,0.0878,60,2024-06-27,2029-06-01,27,44022,722,0,0
61428,0.0315,24,2022-09-19,2024-09-08,62,76532,637,1,0
1671,0.0885,36,2024-11-16,2027-11-01,66,90331,694,0,0
30300,0.0886,48,2023-04-02,2027-03-12,51,148563,526,0,0
27035,0.1331,24,2024-06-27,2026-06-17,38,4475192,696,0,1
31911,0.1244,12,2025-05-10,2026-05-05,58,124576,429,1,0
7172,0.0635,24,2023-08-30,2025-08-19,57,110900,583,0,0
29602,0.084,12,2025-08-21,2026-08-16,32,93616,472,1,0
31111,0.1486,60,2022-11-22,2027-10-27,25,90476,499,1,0
64530,0.1091,36,2022-07-13,2025-06-27,41,109570,316,0,0
45857,0.0854,48,2025-08-09,2029-07-19,28,90067,698,0,0
65027,0.0726,24,2022-10-10,2024-09-29,22,127268,649,0,0
6439,0.0809,48,2025-08-21,2029-07-31,34,37630,659,0,0
53161,0.1101,36,2023-04-14,2026-03-29,66,70979,681,0,0
43600,0.1073,24,2022-04-09,2024-03-29,67,66857,448,1,0
6978,0.1476,60,2025-05-05,2030-04-09,49,132990,587,0,0
58866,0.0352,12,2022-07-20,2023-07-15,57,109489,482,1,0
71119,0.0818,48,2024-08-02,2028-07-12,42,97425,713,0,0
65946,0.1364,60,2025-01-10,2029-12-15,52,50841,843,0,0
38643,0.1403,24,2021-07-19,2023-07-09,38,48044,601,0,0
15571,0.0365,36,2023-10-23,2026-10-07,42,63541,765,0,0
56731,0.1281,36,2023-11-26,2026-11-10,40,40567,343,0,0
4754,0.121,12,2025-01-21,2026-01-16,20,28894,318,1,0
30725,0.1348,12,2024-12-01,2025-11-26,54,49806,435,1,0
66095,0.0596,60,2022-10-15,2027-09-19,20,102368,403,1,0
69056,0.0966,36,2025-10-14,2028-09-28,44,96865,411,0,0
48701,0.1318,24,2025-09-26,2027-09-16,29,46832,313,0,0
41372,0.0742,36,2022-11-11,2025-10-26,33,120082,369,0,0
10596,0.1072,24,2022-09-07,2024-08-27,41,86549,526,1,0
74445,0.0795,60,2021-01-09,2025-12-14,27,112197,487,0,0
-16379,0.0783,48,2023-09-19,2027-08-29,46,114733,814,0,1
24225,0.0974,48,2023-06-25,2027-06-04,41,85697,458,1,0
69926,0.0392,60,2022-01-22,2026-12-27,29,86077,613,0,0
44934,0.129,36,2022-08-03,2025-07-18,65,101580,649,0,0
34937,0.0746,12,2023-12-08,2024-12-02,45,47386,602,0,0
34787,0.0659,12,2023-07-27,2024-07-21,34,65253,559,0,0
31254,0.1308,36,2022-01-09,2024-12-24,56,34472,699,1,0
9329,0.0701,60,2024-03-01,2029-02-03,60,113808,553,0,0
36525,0.0922,60,2024-03-27,2029-03-01,68,43284,725,0,0
71553,0.1347,60,2022-08-03,2027-07-08,54,62963,348,1,0
26279,0.088,24,2021-11-17,2023-11-07,21,49309,594,0,0
3839,0.1175,12,2021-01-26,2022-01-21,63,132443,663,0,0
8710,0.1407,12,2024-05-15,2025-05-10,53,3909837,707,1,1
10557,0.0614,36,2021-07-05,2024-06-19,45,93997,699,0,0
10833,0.1314,48,2021-09-11,2025-08-21,26,116044,527,1,0
3643,0.1044,36,2025-03-12,2028-02-25,38,67299,818,0,0
15289,0.1179,36,2022-05-29,2025-05-13,37,140279,498,1,0
3539,0.1245,12,2021-01-20,2022-01-15,54,38745,320,1,0
35521,0.0529,12,2024-03-25,2025-03-20,36,77714,683,0,0
7588,0.0437,24,2023-10-30,2025-10-19,21,111006,789,0,0
34365,0.0973,12,2021-04-19,2022-04-14,41,117852,653,0,0
19474,0.0381,12,2021-08-30,2022-08-25,34,87169,793,0,0
70184,0.0814,60,2022-06-07,2027-05-12,19,34357,411,1,0
66633,0.1334,36,2022-12-25,2025-12-09,56,113269,643,0,0
31651,0.0727,36,2023-03-14,2026-02-26,68,120158,331,1,0
13819,0.0954,48,2022-06-01,2026-05-11,63,98707,513,1,0
11983,0.1353,48,2023-07-15,2027-06-24,45,20781,680,0,0
19489,0.1201,12,2021-05-31,2022-05-26,19,101816,553,0,0
24648,0.0769,36,2020-11-19,2023-11-04,23,84166,735,0,0
52578,0.0757,36,2024-04-27,2027-04-12,22,147282,803,0,0
50159,0.0645,48,2024-06-08,2028-05-18,58,95939,784,0,0
7710,0.1071,24,2022-03-18,2024-03-07,59,26971,767,0,0
38711,0.1329,36,2025-02-08,2028-01-24,44,99473,339,1,0
66031,0.1373,48,2025-07-16,2029-06-25,65,40074,559,0,0
56661,0.04,12,2022-12-29,2023-12-24,29,83370,315,0,0
32852,0.1481,60,2024-05-28,2029-05-02,47,139052,461,1,0
2125,0.1476,36,2021-05-06,2024-04-20,44,28004,836,1,0
27819,0.1163,24,2023-08-27,2025-08-16,43,145949,526,1,0
50416,0.1283,24,2021-12-12,2023-12-02,23,50930,676,0,0
53142,0.1082,12,2022-06-10,2023-06-05,38,101623,525,0,0
1587,0.0702,24,2021-04-05,2023-03-26,65,56116,455,0,0
26556,0.0804,24,2022-08-18,2024-08-07,58,91986,637,0,0
42855,0.0723,60,2024-07-06,2029-06-10,61,38058,588,1,0
2089,0.0678,48,2022-07-16,2026-06-25,64,87494,753,0,0
29795,0.149,36,2024-10-12,2027-09-27,21,118745,442,1,0
72906,0.1216,60,2025-07-29,2030-07-03,63,28179,759,1,0
51939,0.1098,24,2024-06-03,2026-05-24,68,146688,550,1,0
59810,0.0433,48,2021-05-28,2025-05-07,25,35037,846,0,0
72678,0.0433,48,2021-05-21,2021-04-21,66,28472,723,0,1
70785,0.1459,12,2021-02-22,2022-02-17,36,142477,725,0,0
60675,0.0322,12,2025-10-06,2026-10-01,36,72142,697,0,0
35228,0.0949,12,2022-12-04,2023-11-29,47,69416,619,0,0
65307,0.0662,36,2024-11-27,2027-11-12,52,31240,633,0,0
-72363,0.0377,48,2021-04-23,2025-04-02,25,34849,426,1,1
24567,0.0587,12,2025-03-19,2026-03-14,65,29885,567,0,0
66087,0.1247,60,2024-11-18,2029-10-23,38,70500,603,0,0
43946,0.0886,60,2023-09-15,2028-08-19,26,105436,623,0,0
50879,0.1447,60,2023-06-16,2028-05-20,40,52174,723,0,0
72853,0.1229,12,2022-03-05,2023-02-28,36,46649,705,0,0
62944,0.1143,48,2021-06-07,2025-05-17,24,63355,839,0,0
31795,0.0885,48,2023-06-13,2027-05-23,19,120311,461,1,0
63824,0.0908,12,2023-10-16,2024-10-10,35,46512,561,1,0
41583,0.0587,24,2024-09-18,2026-09-08,18,131032,392,1,0
74869,0.1033,60,2021-03-18,2026-02-20,37,116055,348,1,0
59557,0.13,48,2022-06-16,2026-05-26,50,123001,640,0,0
18087,0.0915,36,2023-06-10,2026-05-25,58,70952,643,1,0
